epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,237.118,0.80125,0.40096,1.01071,0.99803,1,0.995,0.72586,1.07618,0.35343,1.11092,0.000283085,0.000283085,0.000283085
83,240.002,0.82779,0.39759,1.02133,0.99712,1,0.995,0.72217,1.07838,0.35498,1.1162,0.000268938,0.000268938,0.000268938
84,242.873,0.83655,0.41537,1.01574,0.99552,0.99892,0.995,0.72138,1.08802,0.36313,1.12192,0.000254791,0.000254791,0.000254791
85,245.74,0.81184,0.40446,1.00869,0.9982,1,0.995,0.72694,1.07571,0.35367,1.12497,0.000240644,0.000240644,0.000240644
86,248.62,0.82071,0.41865,1.0146,0.99845,1,0.995,0.72735,1.07319,0.35075,1.10395,0.000226497,0.000226497,0.000226497
87,251.512,0.8233,0.40469,1.0206,0.9956,0.99881,0.995,0.7251,1.09275,0.36553,1.11359,0.000212349,0.000212349,0.000212349
88,254.378,0.81173,0.39973,0.99835,0.99836,0.99317,0.995,0.72894,1.0859,0.35458,1.11754,0.000198202,0.000198202,0.000198202
89,257.255,0.80889,0.39111,1.01609,0.99673,0.99951,0.995,0.73303,1.06289,0.3484,1.10963,0.000184055,0.000184055,0.000184055
90,260.129,0.80371,0.39757,1.00377,0.99682,0.99965,0.995,0.73004,1.05798,0.34887,1.11774,0.000169908,0.000169908,0.000169908
91,263.914,0.74425,0.33974,0.97106,0.99626,0.9999,0.995,0.72004,1.11382,0.36414,1.14979,0.000155761,0.000155761,0.000155761
92,266.758,0.75928,0.32991,0.9683,0.99655,0.99968,0.995,0.72865,1.07383,0.35316,1.12263,0.000141614,0.000141614,0.000141614
93,269.594,0.72998,0.31192,0.96833,0.99673,0.99927,0.995,0.72469,1.08359,0.35303,1.12564,0.000127467,0.000127467,0.000127467
94,272.442,0.72544,0.32099,0.97244,0.99827,1,0.995,0.7242,1.07894,0.35365,1.12636,0.00011332,0.00011332,0.00011332
95,275.315,0.70647,0.30219,0.94631,0.99784,1,0.995,0.71762,1.07595,0.35211,1.1284,9.91726e-05,9.91726e-05,9.91726e-05
96,278.164,0.70912,0.30707,0.95837,0.99802,1,0.995,0.72589,1.06301,0.34974,1.11453,8.50255e-05,8.50255e-05,8.50255e-05
97,281.006,0.71178,0.30786,0.96243,0.99798,1,0.995,0.73866,1.04928,0.34666,1.10466,7.08784e-05,7.08784e-05,7.08784e-05
98,283.863,0.68328,0.2975,0.9542,0.99806,1,0.995,0.73524,1.06251,0.34696,1.11288,5.67313e-05,5.67313e-05,5.67313e-05
99,286.71,0.67845,0.2995,0.9523,0.99791,0.99958,0.995,0.7348,1.07524,0.35437,1.12161,4.25842e-05,4.25842e-05,4.25842e-05
100,289.545,0.67588,0.29338,0.93272,0.99759,0.99947,0.995,0.7338,1.07572,0.35566,1.125,2.84371e-05,2.84371e-05,2.84371e-05
